knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
5020;Osen;5020;Osen
5021;Oppdal;5021;Oppdal
5022;Rennebu;5022;Rennebu
5023;Meldal (2018-2019);5059;Orkland
5024;Orkdal (2018-2019);5059;Orkland
5025;Røros;5025;Røros
5026;Holtålen;5026;Holtålen
5027;Midtre Gauldal;5027;Midtre Gauldal
5028;Melhus;5028;Melhus
5029;Skaun;5029;Skaun
5030;Klæbu (2018-2019);5001;Trondheim
5031;Malvik;5031;Malvik
5032;Selbu;5032;Selbu
5033;Tydal;5033;Tydal
5034;Meråker;5034;Meråker
5035;Stjørdal;5035;Stjørdal
5036;Frosta;5036;Frosta
5037;Levanger;5037;Levanger
5038;Verdal;5038;Verdal
5039;Verran (2018-2019);5006;Steinkjer
5040;Namdalseid (2018-2019);5007;Namsos - Nåavmesjenjaelmie
5041;Snåase - Snåsa;5041;Snåase - Snåsa
5042;Lierne;5042;Lierne
5043;Raarvihke - Røyrvik;5043;Raarvihke - Røyrvik
5044;Namsskogan;5044;Namsskogan
5045;Grong;5045;Grong
5046;Høylandet;5046;Høylandet
5047;Overhalla;5047;Overhalla
5048;Fosnes (2018-2019);5007;Namsos - Nåavmesjenjaelmie
5049;Flatanger;5049;Flatanger
1506;Molde;1506;Molde
5050;Vikna (2018-2019);5060;Nærøysund
1507;Ålesund;1507;Ålesund
5051;Nærøy (2018-2019);5060;Nærøysund
5052;Leka;5052;Leka
5053;Inderøy;5053;Inderøy
5054;Indre Fosen;5054;Indre Fosen
5061;Rindal;5061;Rindal
1577;Volda;1577;Volda
1578;Fjord;1578;Fjord
1579;Hustadvika;1579;Hustadvika
1806;Narvik;1806;Narvik
1875;Hamarøy;1875;Hábmer - Hamarøy
4644;Luster;4644;Luster
4645;Askvoll;4645;Askvoll
4646;Fjaler;4646;Fjaler
4647;Sunnfjord;4647;Sunnfjord
4648;Bremanger;4648;Bremanger
4649;Stad;4649;Stad
4650;Gloppen;4650;Gloppen
4651;Stryn;4651;Stryn
5055;Heim;5055;Heim
5412;Tjeldsund;5412;Dielddanuorri - Tjeldsund
5401;Tromsø;5401;Tromsø
5402;Harstad;5402;Harstad - Hárstták
5411;Kvæfjord;5411;Kvæfjord
5413;Ibestad;5413;Ibestad
5414;Gratangen;5414;Gratangen
5415;Loabák - Lavangen;5415;Loabák - Lavangen
5416;Bardu;5416;Bardu
5417;Salangen;5417;Salangen
5418;Målselv;5418;Målselv
5419;Sørreisa;5419;Sørreisa
5420;Dyrøy;5420;Dyrøy
5421;Senja;5421;Senja
5422;Balsfjord;5422;Balsfjord
5423;Karlsøy;5423;Karlsøy
5424;Lyngen;5424;Lyngen
5425;Storfjord - Omasvuotna - Omasvuono;5425;Storfjord - Omasvuotna - Omasvuono
5426;Gáivuotna - Kåfjord - Kaivuono;5426;Gáivuotna - Kåfjord - Kaivuono
5427;Skjervøy;5427;Skjervøy
5428;Nordreisa;5428;Nordreisa - Ráisa - Raisi
5429;Kvænangen;5429;Kvænangen
5404;Vardø;5404;Vardø
5405;Vadsø;5405;Vadsø
5406;Hammerfest;5406;Hammerfest - Hámmerfeasta
5430;Guovdageaidnu - Kautokeino;5430;Guovdageaidnu - Kautokeino
5403;Alta;5403;Alta
5432;Loppa;5432;Loppa
5433;Hasvik;5433;Hasvik
5434;Måsøy;5434;Måsøy
5435;Nordkapp;5435;Nordkapp
5436;Porsanger - Porsángu - Porsanki ;5436;Porsanger - Porsángu - Porsanki
5437;Kárásjohka - Karasjok;5437;Kárá?johka - Karasjok
5438;Lebesby;5438;Lebesby
5439;Gamvik;5439;Gamvik
5440;Berlevåg;5440;Berlevåg
5441;Deatnu - Tana;5441;Deatnu - Tana
5442;Unjárga - Nesseby;5442;Unjárga - Nesseby
5443;Båtsfjord;5443;Båtsfjord
5444;Sør-Varanger;5444;Sør-Varanger
